Vuln ID|Summary|Published Date|CVSS Severity|Link
 Note: There are internal security mechanisms in place that limit the scope of this exploit, reducing the Security Impact Rating of this vulnerability.|April 03, 2024; 1:15:47 PM -0400|"V3.x:(not available) 

V2.0:(not available) (None)"|https://nvd.nist.gov/vuln/detail/CVE-2024-20281|
 This vulnerability exists because the web UI does not properly validate user-supplied input. An attacker could exploit this vulnerability by persuading a user of the interface to click a crafted link. A successful exploit could allow the attacker to execute arbitrary script code in the context of the affected interface or access sensitive, browser-based information. To successfully exploit this vulnerability, an attacker would need valid agent credentials.|April 03, 2024; 1:15:49 PM -0400|"V3.x:(not available) 

V2.0:(not available) (None)"|https://nvd.nist.gov/vuln/detail/CVE-2024-20367|
 This vulnerability exists because the web-based management interface does not properly validate user-supplied input. An attacker could exploit this vulnerability by persuading an authenticated user of the interface to click a crafted link. A successful exploit could allow the attacker to execute arbitrary script code in the context of the affected interface or access sensitive browser-based information.|April 03, 2024; 1:15:48 PM -0400|"V3.x:(not available) 

V2.0:(not available) (None)"|https://nvd.nist.gov/vuln/detail/CVE-2024-20310|
 This vulnerability is due to an unauthenticated provisioning web server. An attacker could exploit this vulnerability through direct web requests to the provisioning server. A successful exploit could allow the attacker to read sensitive files in the PnP container that could facilitate further attacks on the PnP infrastructure.|April 03, 2024; 1:15:49 PM -0400|"V3.x:(not available) 

V2.0:(not available) (None)"|https://nvd.nist.gov/vuln/detail/CVE-2024-20348|
 This vulnerability is due to improper access controls on a specific API endpoint. An attacker could exploit this vulnerability by sending queries to the API endpoint. A successful exploit could allow an attacker to access metrics and information about devices in the Nexus Dashboard cluster.|April 03, 2024; 1:15:48 PM -0400|"V3.x:(not available) 

V2.0:(not available) (None)"|https://nvd.nist.gov/vuln/detail/CVE-2024-20283|
 This vulnerability is due to improper input validation for specific HTTP requests. An attacker could exploit this vulnerability by sending a crafted HTTP request to an affected device. A successful exploit could allow the attacker to send arbitrary network requests that are sourced from the affected device. To successfully exploit this vulnerability, the attacker would need valid Super Admin credentials.|April 03, 2024; 1:15:48 PM -0400|"V3.x:(not available) 

V2.0:(not available) (None)"|https://nvd.nist.gov/vuln/detail/CVE-2024-20332|
 This vulnerability is due to insufficient CSRF protections for the web-based management interface of an affected device. An attacker could exploit this vulnerability by persuading a user of the interface to follow a crafted link. A successful exploit could allow the attacker to perform arbitrary actions on the affected device with the privileges of the targeted user.|April 03, 2024; 1:15:50 PM -0400|"V3.x:(not available) 

V2.0:(not available) (None)"|https://nvd.nist.gov/vuln/detail/CVE-2024-20368|
 This vulnerability is due to insufficient CSRF protections for the web-based management interface on an affected system. An attacker could exploit this vulnerability by persuading a user to click a malicious link. A successful exploit could allow the attacker to perform arbitrary actions with the privilege level of the affected user. If the affected user has administrative privileges, these actions could include modifying the system configuration and creating new privileged accounts.||||
 This vulnerability is due to insufficient input validation by the web-based management interface. An attacker could exploit this vulnerability by inserting malicious data in a specific data field in the interface. A successful exploit could allow the attacker to execute arbitrary script code in the context of the affected interface or access sensitive, browser-based information.|April 03, 2024; 1:15:48 PM -0400|"V3.x:(not available) 

V2.0:(not available) (None)"|https://nvd.nist.gov/vuln/detail/CVE-2024-20334|
 This vulnerability is due to insufficient input validation by the web-based management interface. An attacker could exploit this vulnerability by persuading a user to visit specific web pages that include malicious payloads. A successful exploit could allow the attacker to execute arbitrary script code in the context of the affected interface or access sensitive, browser-based information.|April 03, 2024; 1:15:49 PM -0400|"V3.x:(not available) 

V2.0:(not available) (None)"|https://nvd.nist.gov/vuln/detail/CVE-2024-20362|
 This vulnerability is due to insufficient protections for a sensitive access token. An attacker could exploit this vulnerability by using this token to access resources within the device infrastructure. A successful exploit could allow an attacker to gain root access to the filesystem or hosted containers on an affected device.|April 03, 2024; 1:15:47 PM -0400|"V3.x:(not available) 

V2.0:(not available) (None)"|https://nvd.nist.gov/vuln/detail/CVE-2024-20282|
'embedpress_calendar' shortcode in all versions up to, and including, 3.9.14 due to insufficient input sanitization and output escaping on user supplied attributes. This makes it possible for authenticated attackers, with contributor-level access and above, to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.|April 09, 2024; 3:15:40 PM -0400|"V3.x:(not available) 

V2.0:(not available) (None)"|https://nvd.nist.gov/vuln/detail/CVE-2024-3244|
Affected Products:||||
CVE-2024-0001|A condition exists in FlashArray Purity whereby a local account intended for initial array configuration remains active potentially allowing a malicious actor to gain elevated privileges.|September 23, 2024; 2:15:04 PM -0400|"V4.0:(not available)



V3.x:(not available)



V2.0:(not available) (None)"|https://nvd.nist.gov/vuln/detail/CVE-2024-0001
CVE-2024-0002|A condition exists in FlashArray Purity whereby an attacker can employ a privileged account allowing remote access to the array.|September 23, 2024; 2:15:04 PM -0400|"V4.0:(not available)



V3.x:(not available)



V2.0:(not available) (None)"|https://nvd.nist.gov/vuln/detail/CVE-2024-0002
CVE-2024-0003|A condition exists in FlashArray Purity whereby a malicious user could use a remote administrative service to create an account on the array allowing privileged access.|September 23, 2024; 2:15:04 PM -0400|"V4.0:(not available)



V3.x:(not available)



V2.0:(not available) (None)"|https://nvd.nist.gov/vuln/detail/CVE-2024-0003
CVE-2024-0004|A condition exists in FlashArray Purity whereby an user with array admin role can execute arbitrary commands remotely to escalate privilege on the array.|September 23, 2024; 2:15:04 PM -0400|"V4.0:(not available)



V3.x:(not available)



V2.0:(not available) (None)"|https://nvd.nist.gov/vuln/detail/CVE-2024-0004
CVE-2024-0005|A condition exists in FlashArray and FlashBlade Purity whereby a malicious user could execute arbitrary commands remotely through a specifically crafted SNMP configuration.|September 23, 2024; 2:15:05 PM -0400|"V4.0:(not available)



V3.x:(not available)



V2.0:(not available) (None)"|https://nvd.nist.gov/vuln/detail/CVE-2024-0005
CVE-2024-0006|Information exposure in the logging system in Yugabyte Platform allows local attackers with access to application logs to obtain database user credentials in log files, potentially leading to unauthorized database access.|July 19, 2024; 11:15:09 AM -0400|"V4.0:(not available)



V3.x:(not available)



V2.0:(not available) (None)"|https://nvd.nist.gov/vuln/detail/CVE-2024-0006
CVE-2024-0007|A cross-site scripting (XSS) vulnerability in Palo Alto Networks PAN-OS software enables a malicious authenticated read-write administrator to store a JavaScript payload using the web interface on Panorama appliances. This enables the impersonation of another authenticated administrator.|February 14, 2024; 1:15:47 PM -0500|V3.x:(not available) V2.0:(not available)  (None)|https://nvd.nist.gov/vuln/detail/CVE-2024-0007
CVE-2024-0008|Web sessions in the management interface in Palo Alto Networks PAN-OS software do not expire in certain situations, making it susceptible to unauthorized access.|February 14, 2024; 1:15:47 PM -0500|V3.x:(not available) V2.0:(not available)  (None)|https://nvd.nist.gov/vuln/detail/CVE-2024-0008
